"","OrganizationID","MLocID","StationDes","MonLocType","HUC12_Name","ELEV_Ft","AU_ID","WaterTypeCode","WaterBodyCode","ben_use_code","OWRD_Basin","wqstd_code","Pollu_ID","Char_Name","SampleMedia","SampleSubmedia","Sample_Fraction","Result_status","Statistical_Base","Time_Basis","SampleStartDate","SampleStartTime","Act_Depth_Top","act_depth_height","Result_Type","Result_UID","Result_Numeric","Result_Unit","IRResultNWQSunit","Result_Operator","IRWQSUnitName","lab_Comments","General_Comments","QualifierAbbr","QualifierTxt","DO_code","DO_Class","DO_SpawnCode","SpawnStart","SpawnEnd","crit_30D","crit_7Mi","crit_Min","in_spawn","critstart","critend","is.crit","DO_sat","Violation"
"1","KLAMATHTRIBES_WQX","SR0060","SPRAGUE RIVER AT GODOWA ROAD","River/Stream","Knot Tableland-Sprague River",4307,"OR_SR_1801020207_05_106978",2,2,5,"Klamath",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final",NA,NA,2009-05-12,"10:00:00.0000000",NA,"0","Actual",16082435,8.24,"mg/l",8.24,"=","mg/l",NA,NA,NA,NA,3,"Cool Water",NA,NA,NA,6.5,5,4,0,2009-07-01,2009-09-30,0,NA,0
"2","KLAMATHTRIBES_WQX","SR0060","SPRAGUE RIVER AT GODOWA ROAD","River/Stream","Knot Tableland-Sprague River",4307,"OR_SR_1801020207_05_106978",2,2,5,"Klamath",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final",NA,NA,2009-05-20,"09:26:00.0000000",NA,"0","Actual",16082449,8.75,"mg/l",8.75,"=","mg/l",NA,NA,NA,NA,3,"Cool Water",NA,NA,NA,6.5,5,4,0,2009-07-01,2009-09-30,0,NA,0
"3","KLAMATHTRIBES_WQX","SR0060","SPRAGUE RIVER AT GODOWA ROAD","River/Stream","Knot Tableland-Sprague River",4307,"OR_SR_1801020207_05_106978",2,2,5,"Klamath",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final",NA,NA,2011-06-15,"12:30:00.0000000",NA,"0","Actual",16083183,9.48,"mg/l",9.48,"=","mg/l",NA,NA,NA,NA,3,"Cool Water",NA,NA,NA,6.5,5,4,0,2011-07-01,2011-09-30,0,NA,0
"4","KLAMATHTRIBES_WQX","SR0060","SPRAGUE RIVER AT GODOWA ROAD","River/Stream","Knot Tableland-Sprague River",4307,"OR_SR_1801020207_05_106978",2,2,5,"Klamath",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final",NA,NA,2012-05-02,"11:33:00.0000000",NA,"0","Actual",16083498,9.56,"mg/l",9.56,"=","mg/l",NA,NA,NA,NA,3,"Cool Water",NA,NA,NA,6.5,5,4,0,2012-07-01,2012-09-30,0,NA,0
"5","KLAMATHTRIBES_WQX","SR0060","SPRAGUE RIVER AT GODOWA ROAD","River/Stream","Knot Tableland-Sprague River",4307,"OR_SR_1801020207_05_106978",2,2,5,"Klamath",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final",NA,NA,2012-08-20,"09:18:00.0000000",NA,"0","Actual",16083603,8.45,"mg/l",8.45,"=","mg/l",NA,NA,NA,NA,3,"Cool Water",NA,NA,NA,6.5,5,4,0,2012-07-01,2012-09-30,1,NA,0
"6","KLAMATHTRIBES_WQX","SR0060","SPRAGUE RIVER AT GODOWA ROAD","River/Stream","Knot Tableland-Sprague River",4307,"OR_SR_1801020207_05_106978",2,2,5,"Klamath",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final",NA,NA,2013-07-31,"09:30:00.0000000",NA,"0","Actual",16083871,8.65,"mg/l",8.65,"=","mg/l",NA,NA,NA,NA,3,"Cool Water",NA,NA,NA,6.5,5,4,0,2013-07-01,2013-09-30,1,NA,0
"7","KLAMATHTRIBES_WQX","SR0060","SPRAGUE RIVER AT GODOWA ROAD","River/Stream","Knot Tableland-Sprague River",4307,"OR_SR_1801020207_05_106978",2,2,5,"Klamath",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final",NA,NA,2010-05-20,"09:10:00.0000000",NA,"0","Actual",16082785,7.36,"mg/l",7.36,"=","mg/l",NA,NA,NA,NA,3,"Cool Water",NA,NA,NA,6.5,5,4,0,2010-07-01,2010-09-30,0,NA,0
"8","KLAMATHTRIBES_WQX","SR0060","SPRAGUE RIVER AT GODOWA ROAD","River/Stream","Knot Tableland-Sprague River",4307,"OR_SR_1801020207_05_106978",2,2,5,"Klamath",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final",NA,NA,2010-07-13,"08:55:00.0000000",NA,"0","Actual",16082841,7.23,"mg/l",7.23,"=","mg/l",NA,NA,NA,NA,3,"Cool Water",NA,NA,NA,6.5,5,4,0,2010-07-01,2010-09-30,1,NA,0
"9","KLAMATHTRIBES_WQX","SR0070","SYCAN RIVER AT DREWS ROAD","River/Stream","Chester Spring-Sycan River",4313,"OR_SR_1801020206_05_106977",2,2,5,"Klamath",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final",NA,NA,2008-07-31,"12:55:00.0000000",NA,"0","Actual",16086093,9.91,"mg/l",9.91,"=","mg/l",NA,NA,NA,NA,3,"Cool Water",NA,NA,NA,6.5,5,4,0,2008-07-01,2008-09-30,1,NA,0
"10","KLAMATHTRIBES_WQX","SR0070","SYCAN RIVER AT DREWS ROAD","River/Stream","Chester Spring-Sycan River",4313,"OR_SR_1801020206_05_106977",2,2,5,"Klamath",3,154,"Dissolved oxygen (DO)","Water",NA,NA,"Final",NA,NA,2011-07-12,"11:39:00.0000000",NA,"0","Actual",16087132,7.82,"mg/l",7.82,"=","mg/l",NA,NA,NA,NA,3,"Cool Water",NA,NA,NA,6.5,5,4,0,2011-07-01,2011-09-30,1,NA,0
